,Sr. No,Symbol,Company Name,"Market capitalization as on December 31, 2023
(In Lakhs)"
0,1,RELIANCE,Reliance Industries Limited,174889554.787729
1,2,TCS,Tata Consultancy Services Limited,137248531.907812
2,3,HDFCBANK,HDFC Bank Limited,129740453.99988699
3,4,ICICIBANK,ICICI Bank Limited,69902440.891932
4,5,INFY,Infosys Limited,64037070.702681
5,6,HINDUNILVR,Hindustan Unilever Limited,62591936.424049005
6,7,BHARTIARTL,Bharti Airtel Limited,58028012.499392
7,8,ITC,ITC Limited,57649787.673312
8,9,SBIN,State Bank of India,57300470.922247
9,10,LICI,Life Insurance Corporation Of India,52655605.860825
10,11,LT,Larsen & Toubro Limited,48466573.5869
11,12,BAJFINANCE,Bajaj Finance Limited,45287186.0248675
12,13,HCLTECH,HCL Technologies Limited,39785043.972456
13,14,KOTAKBANK,Kotak Mahindra Bank Limited,37924093.150021
14,15,AXISBANK,Axis Bank Limited,33991569.444873
15,16,ASIANPAINT,Asian Paints Limited,32635745.60696
16,17,TITAN,Titan Company Limited,32630136.41772
17,18,ADANIENT,Adani Enterprises Limited,32478061.936729502
18,19,MARUTI,Maruti Suzuki India Limited,32390853.582489
19,20,ULTRACEMCO,UltraTech Cement Limited,30320905.713557
20,21,SUNPHARMA,Sun Pharmaceutical Industries Limited,30218424.279665
21,22,NTPC,NTPC Limited,30171176.675941
22,23,BAJAJFINSV,Bajaj Finserv Limited,26896750.409553997
23,24,DMART,Avenue Supermarts Limited,26567153.600702003
24,25,TATAMOTORS,Tata Motors Limited,25916546.0734425
25,26,ONGC,Oil & Natural Gas Corporation Limited,25795862.511903
26,27,NESTLEIND,Nestle India Limited,25627586.559947997
27,28,ADANIGREEN,Adani Green Energy Limited,25296998.67366
28,29,WIPRO,Wipro Limited,24621822.533616003
29,30,COALINDIA,Coal India Limited,23171858.50952
30,31,ADANIPORTS,Adani Ports and Special Economic Zone Limited,22127383.2831075
31,32,POWERGRID,Power Grid Corporation of India Limited,22061032.258667998
32,33,JSWSTEEL,JSW Steel Limited,21526108.535715
33,34,M&M,Mahindra & Mahindra Limited,21505587.603313997
34,35,ADANIPOWER,Adani Power Limited,20254714.848661497
35,36,BAJAJ-AUTO,Bajaj Auto Limited,19233319.016655
36,37,HAL,Hindustan Aeronautics Limited,18752451
37,38,LTIM,LTIMindtree Limited,18627749.3229685
38,39,IOC,Indian Oil Corporation Limited,18336428.0403255
39,40,DLF,DLF Limited,17980688.421504
40,41,TATASTEEL,Tata Steel Limited,17167076.782844
41,42,VBL,Varun Beverages Limited,16069990.038144
42,43,JIOFIN,Jio Financial Services Limited,14799975.515946
43,44,SBILIFE,SBI Life Insurance Company Limited,14343767.148178
44,45,SIEMENS,Siemens Limited,14332771.902985
45,46,GRASIM,Grasim Industries Limited,14056564.790268
46,47,HDFCLIFE,HDFC Life Insurance Company Limited,13908315.736672
47,48,HINDALCO,Hindalco Industries Limited,13817010.7916655
48,49,PIDILITIND,Pidilite Industries Limited,13809215.53649
49,50,BEL,Bharat Electronics Limited,13464612.603018
50,51,HINDZINC,Hindustan Zinc Limited,13438627.0795
51,52,IRFC,Indian Railway Finance Corporation Limited,12983560.711
52,53,BRITANNIA,Britannia Industries Limited,12858633.547812
53,54,PFC,Power Finance Corporation Limited,12626189.33376
54,55,INDUSINDBK,IndusInd Bank Limited,12435548.724088999
55,56,TECHM,Tech Mahindra Limited,12421247.987010501
56,57,BANKBARODA,Bank of Baroda,11951017.995669
57,58,ADANIENSOL,Adani Energy Solutions Limited,11665264.7324725
58,59,GODREJCP,Godrej Consumer Products Limited,11570143.561648
59,60,INDIGO,InterGlobe Aviation Limited,11451378.189598
60,61,EICHERMOT,Eicher Motors Limited,11343887.8425
61,62,RECLTD,REC Limited,10871265.284
62,63,ATGL,Adani Total Gas Limited,10865573.7149985
63,64,TRENT,Trent Limited,10859964.1898195
64,65,ZOMATO,Zomato Limited,10775402.675131
65,66,GAIL,GAIL (India) Limited,10658236.522924
66,67,TATAPOWER,Tata Power Company Limited,10613320.3053605
67,68,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,10577709.88788
68,69,PNB,Punjab National Bank,10543047.396785
69,70,DIVISLAB,Divi's Laboratories Limited,10363627.89462
70,71,AMBUJACEM,Ambuja Cements Limited,10343225.997861
71,72,SHREECEM,SHREE CEMENT LIMITED,10338324.966684
72,73,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,10096498.6122
73,74,CIPLA,Cipla Limited,10062008.010274
74,75,ABB,ABB India Limited,9906398.6686875
75,76,DABUR,Dabur India Limited,9873789.66252
76,77,LODHA,Macrotech Developers Limited,9871487.5541755
77,78,BPCL,Bharat Petroleum Corporation Limited,9775737.490836
78,79,DRREDDY,Dr. Reddy's Laboratories Limited,9671442.028663
79,80,TVSMOTOR,TVS Motor Company Limited,9624314.755412
80,81,VEDL,Vedanta Limited,9610836.730934499
81,82,UNIONBANK,Union Bank of India,8828225.826446999
82,83,HAVELLS,Havells India Limited,8572710.508885
83,84,BAJAJHLDNG,Bajaj Holdings & Investment Limited,8541331.71846
84,85,HEROMOTOCO,Hero MotoCorp Limited,8274428.6420115
85,86,POLYCAB,Polycab India Limited,8236220.5161075
86,87,APOLLOHOSP,Apollo Hospitals Enterprise Limited,8201620.619937
87,88,IOB,Indian Overseas Bank,8184744.506848001
88,89,MCDOWELL-N,United Spirits Limited,8129964.1594075
89,90,MANKIND,Mankind Pharma Limited,7941665.823
90,91,CANBK,Canara Bank,7936819.8525
91,92,TORNTPHARM,Torrent Pharmaceuticals Limited,7803028.84192
92,93,IDEA,Vodafone Idea Limited,7788750.2728
93,94,SHRIRAMFIN,Shriram Finance Limited,7710994.5024190005
94,95,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,7702120.5341735
95,96,JINDALSTEL,Jindal Steel & Power Limited,7631279.053657
96,97,SRF,SRF Limited,7349112.4738125
97,98,IDBI,IDBI Bank Limited,7247119.06595
98,99,SBICARD,SBI Cards and Payment Services Limited,7221762.1405585
99,100,IRCTC,Indian Railway Catering And Tourism Corporation Limited,7100000
100,101,MARICO,Marico Limited,7096677.33988
101,102,BERGEPAINT,Berger Paints (I) Limited,7048447.266663001
102,103,ICICIGI,ICICI Lombard General Insurance Company Limited,6989615.652393
103,104,ZYDUSLIFE,Zydus Lifesciences Limited,6976110.925988001
104,105,CGPOWER,CG Power and Industrial Solutions Limited,6939976.651136
105,106,MOTHERSON,Samvardhana Motherson International Limited,6908561.582637
106,107,COLPAL,Colgate Palmolive (India) Limited,6880420.5832980005
107,108,TIINDIA,Tube Investments of India Limited,6848575.5525075
108,109,HDFCAMC,HDFC Asset Management Company Limited,6842162.2
109,110,BHEL,Bharat Heavy Electricals Limited,6739533.6236025
110,111,JSWENERGY,JSW Energy Limited,6727545.819954
111,112,MAXHEALTH,Max Healthcare Institute Limited,6669156.1651875
112,113,NAUKRI,Info Edge (India) Limited,6650537.84418
113,114,BOSCHLTD,Bosch Limited,6548708.83832
114,115,NHPC,NHPC Limited,6489092.48403
115,116,AUROPHARMA,Aurobindo Pharma Limited,6351574.52156
116,117,IDFCFIRSTB,IDFC First Bank Limited,6277712.785799
117,118,INDHOTEL,The Indian Hotels Company Limited,6226324.899157
118,119,ALKEM,Alkem Laboratories Limited,6220488.69
119,120,YESBANK,Yes Bank Limited,6168929.93574
120,121,NMDC,NMDC Limited,6144015.164525
121,122,SOLARINDS,Solar Industries India Limited,6087718.450125
122,123,LUPIN,Lupin Limited,6023238.655111
123,124,MUTHOOTFIN,Muthoot Finance Limited,5926725.059283
124,125,SUPREMEIND,Supreme Industries Limited,5770767.190665
125,126,BHARATFORG,Bharat Forge Limited,5765616.824371999
126,127,PATANJALI,Patanjali Foods Limited,5701418.93475
127,128,PERSISTENT,Persistent Systems Limited,5684295.95
128,129,INDIANB,Indian Bank,5669371.396029
129,130,HINDPETRO,Hindustan Petroleum Corporation Limited,5658589.348205
130,131,PGHH,Procter & Gamble Hygiene and Health Care Limited,5637147.644128
131,132,GODREJPROP,Godrej Properties Limited,5597911.051673001
132,133,LTTS,L&T Technology Services Limited,5555848.016604001
133,134,MRF,MRF Limited,5495641.2908275
134,135,TATAELXSI,Tata Elxsi Limited,5451337.03718
135,136,CUMMINSIND,Cummins India Limited,5444069.4
136,137,GICRE,General Insurance Corporation of India,5404429.2
137,138,INDUSTOWER,Indus Towers Limited,5364271.998975
138,139,PIIND,PI Industries Limited,5334257.310762
